02-24 17:05:22.139 10326 10326 I SettingSearch/SearchIntentReceiver: action : com.samsung.android.app.galaxyfinder.LAUNCH_SFINDER
02-24 17:05:22.139 10326 10326 D InterestingConfigChanges: isConfigChanged=true
02-24 17:05:22.165 10326 10326 I TileUtils: getTilesForIntent results count : 41
02-24 17:05:22.193 10326 10326 I TileUtils: getTilesForIntent results count : 0
02-24 17:05:22.197 10326 10326 I TileUtils: getTilesForIntent results count : 5
02-24 17:05:22.216 10326 10326 I TileUtils: getTilesForIntent results count : 1
02-24 17:05:22.221 10326 10326 W ResourceType: ResTable_typeSpec entry count inconsistent: given 76, previously 78
02-24 17:05:22.222 10326 10326 W ResourceType: ResTable_typeSpec entry count inconsistent: given 3262, previously 3285
02-24 17:05:22.238 27842 27842 D ScrollView: initGoToTop
02-24 17:05:22.252 10326 27860 D SecMenutree: initLogging()
02-24 17:05:22.269 10326 27860 W ResourceType: For resource 0x7f070027, entry index(39) is beyond type entryCount(5)
02-24 17:05:22.269 10326 27860 W ResourceType: Failure getting entry for 0x7f070027 (t=6 e=39) (error -75)
02-24 17:05:22.269 10326 27860 E Settings_Utils: (Res error)Failed to translate : android.content.res.Resources$NotFoundException: String resource ID #0x7f070027
02-24 17:05:22.269 10326 27860 D SecMenutree: skip keyword : Wallpaper
02-24 17:05:22.275 10326 27860 W ResourceType: No package identifier when getting value for resource number 0x00000000
02-24 17:05:22.275 10326 27860 E Settings_Utils: (Res error)Failed to translate : android.content.res.Resources$NotFoundException: String resource ID #0x0
02-24 17:05:22.275 10326 27860 D SecMenutree: skip keyword : Device maintenance
02-24 17:05:22.283 10326 27860 W ResourceType: Failure getting entry for 0x7f1506e4 (t=20 e=1764) (error -2147483647)
